calender_id,listing_id,date,available,price,adjusted_price,minimum_nights,maximum_nights
117399,44171976,2022-08-27 00:00:00.000000,0,90,90,1,1125
117400,37067190,2022-07-05 00:00:00.000000,0,25,25,2,1125
117401,36729427,2022-11-19 00:00:00.000000,0,65,65,1,1125
117402,51278661,2022-12-16 00:00:00.000000,0,1000,1000,1,7
117403,25023469,2022-06-26 00:00:00.000000,0,125,125,2,10
117404,51013490,2022-09-13 00:00:00.000000,0,200,200,3,365
117405,7724259,2022-03-11 00:00:00.000000,0,500,500,4,1125
117406,48176412,2022-05-08 00:00:00.000000,0,75,75,2,1125
117407,28693154,2022-10-15 00:00:00.000000,0,75,75,1,1125
117408,36469302,2022-09-20 00:00:00.000000,0,68,68,1,31
117409,7814882,2022-11-08 00:00:00.000000,0,75,75,1,1125
117410,23755415,2022-05-29 00:00:00.000000,1,59,59,1,1125
117411,30243446,2022-05-30 00:00:00.000000,1,44,44,2,1125
117412,8038470,2022-05-16 00:00:00.000000,1,150,150,1,1125
117413,34249814,2022-05-05 00:00:00.000000,0,152,152,2,1125
117414,53617659,2022-05-05 00:00:00.000000,1,180,180,2,1125
117415,51304062,2022-07-07 00:00:00.000000,1,64,64,1,1125
117416,30976395,2022-11-24 00:00:00.000000,1,89,89,14,1125
117417,224682,2022-03-03 00:00:00.000000,1,85,85,2,30
117418,4502646,2022-03-23 00:00:00.000000,1,75,75,1,1125
117419,16546399,2022-03-16 00:00:00.000000,0,27,27,2,1124
117420,39601703,2022-07-08 00:00:00.000000,0,100,100,2,4
117421,46406375,2022-06-04 00:00:00.000000,0,200,200,1,365
117422,20856073,2022-01-14 00:00:00.000000,0,41,41,10,1125
117423,52805528,2022-12-07 00:00:00.000000,1,386,386,7,28
117424,9193370,2022-11-04 00:00:00.000000,1,80,80,2,1125
117425,27567210,2022-05-31 00:00:00.000000,0,75,75,2,1125
117426,43341118,2022-12-08 00:00:00.000000,0,34,34,1,1125
117427,40438979,2022-01-17 00:00:00.000000,1,114,114,1,14
117428,49133684,2022-10-07 00:00:00.000000,0,118,118,2,1125
117429,40129833,2022-11-30 00:00:00.000000,0,51,51,2,1125
117430,47248319,2022-11-20 00:00:00.000000,0,65,65,1,1125
117431,47130841,2022-07-05 00:00:00.000000,1,50,50,30,1125
117432,37277303,2022-01-16 00:00:00.000000,0,100,100,5,365
117433,43663388,2022-12-24 00:00:00.000000,1,100,100,2,1125
117434,11649861,2022-05-11 00:00:00.000000,0,100,100,1,1125
117435,15520735,2022-07-05 00:00:00.000000,0,65,65,1,1125
117436,4064854,2022-03-07 00:00:00.000000,1,80,80,1,7
117437,7552929,2022-10-20 00:00:00.000000,0,60,60,2,1125
117438,46653323,2022-02-28 00:00:00.000000,1,30,30,3,1125
117439,22760259,2022-05-08 00:00:00.000000,0,50,50,2,1125
117440,13427359,2022-07-13 00:00:00.000000,0,200,200,2,1125
117441,53802490,2022-05-21 00:00:00.000000,1,120,120,1,999
117442,46406375,2022-02-27 00:00:00.000000,0,200,200,1,365
117443,35441361,2022-06-12 00:00:00.000000,1,49,49,1,13
117444,39578032,2022-12-18 00:00:00.000000,1,59,59,1,13
117445,52313604,2022-04-05 00:00:00.000000,1,49,49,1,10
117446,50287634,2022-10-10 00:00:00.000000,0,80,80,5,1125
117447,49916918,2022-10-20 00:00:00.000000,1,116,116,1,999
117448,53819769,2022-04-09 00:00:00.000000,1,120,120,1,999
117449,24419851,2022-09-08 00:00:00.000000,0,93,93,4,1125
117450,49764921,2022-10-27 00:00:00.000000,1,59,59,1,21
117451,39348629,2022-05-12 00:00:00.000000,1,49,49,1,13
117452,52611295,2022-07-10 00:00:00.000000,1,133,133,2,365
117453,23558021,2022-05-10 00:00:00.000000,0,17,17,1,3
117454,51171172,2022-09-05 00:00:00.000000,1,59,59,1,1125
117455,45999881,2022-07-05 00:00:00.000000,1,72,72,2,1125
117456,40998197,2022-05-28 00:00:00.000000,1,120,120,1,365
117457,20131004,2022-07-09 00:00:00.000000,0,35,35,4,1125
117458,22181904,2022-05-25 00:00:00.000000,0,60,60,1,10
117459,46810177,2022-06-11 00:00:00.000000,1,650,650,30,1125
117460,40345757,2022-06-19 00:00:00.000000,1,149,149,2,1125
117461,52664057,2022-06-01 00:00:00.000000,1,160,160,1,1125
117462,26764297,2022-02-14 00:00:00.000000,0,60,60,5,1125
117463,45999881,2022-03-31 00:00:00.000000,1,66,66,3,1125
117464,30527484,2022-08-11 00:00:00.000000,1,75,75,2,1125
